"['SB-001', 0.008020656183362007, 0.02695453353226185, 57, 0, 0, 0, [0, 0.0, 0, 0.0, 0.0], [0, 0.0, 0, 0.21052631578947367, 0.0], [0, 0.0, 10, 1.263157894736842, 0.08771929824561403], 3.686399035877722, 0.6862232976543009]"
"['SB-003', 0.013606708496809006, 0.07015511393547058, 45, 0, 0, 0, [0, 0.0, 0, 0.0, 0.0], [0, 0.0, 0, 0.6222222222222222, 0.0], [0, 0.0, 3, 2.022222222222222, 0.03333333333333333], 4.962510331028918, 5.5108432059098655]"
"['SB-008', 0.007360383868217468, 0.043457165360450745, 43, 0, 0, 0, [0, 0.0, 0, 0.0, 0.0], [0, 0.0, 0, 0.2558139534883721, 0.0], [0, 0.0, 0, 0.9069767441860465, 0.0], 3.7473913455530643, 0.7175317248803795]"
"['SB-011', 0.0077293082140386105, 0.012693671509623528, 63, 0, 0, 0, [0, 0.0, 0, 0.0, 0.0], [0, 0.0, 0, 0.1746031746031746, 0.0], [2, 0.031746031746031744, 7, 1.619047619047619, 0.05555555555555555], 2.4877783310946047, 0.187443291394456]"
"['SB-012', 0.007446642965078354, 0.014726880006492138, 57, 0, 0, 0, [0, 0.0, 0, 0.0, 0.0], [0, 0.0, 0, 0.05263157894736842, 0.0], [0, 0.0, 0, 0.43859649122807015, 0.0], 1.9345723499123118, 0.10428317810113892]"
"['SB-022', 0.008471792563796043, 0.022945120930671692, 61, 0, 0, 0, [0, 0.0, 0, 0.0, 0.0], [0, 0.0, 0, 0.19672131147540983, 0.0], [1, 0.01639344262295082, 4, 1.360655737704918, 0.03278688524590164], 3.0041109163309705, 0.4970676572882233]"
"['SB-023', 0.007049783132970333, 0.028809066861867905, 60, 0, 0, 0, [0, 0.0, 0, 0.0, 0.0], [0, 0.0, 0, 0.08333333333333333, 0.0], [0, 0.0, 1, 0.6166666666666667, 0.008333333333333333], 2.550015935961695, 0.2472107967439039]"
"['SB-025', 0.021119743585586548, 0.05783208832144737, 25, 0, 0, 0, [0, 0.0, 0, 0.0, 0.0], [0, 0.0, 0, 0.64, 0.0], [0, 0.0, 0, 1.68, 0.0], 5.945936522074713, 2.2672879183346937]"
"['SB-028', 0.00560296094045043, 0.031532976776361465, 28, 0, 0, 0, [0, 0.0, 0, 0.0, 0.0], [0, 0.0, 0, 0.07142857142857142, 0.0], [0, 0.0, 2, 0.6071428571428571, 0.03571428571428571], 3.001953218164325, 0.5835435052615284]"
"['SB-033', 0.012070836499333382, 0.031044354662299156, 23, 0, 0, 0, [0, 0.0, 0, 0.0, 0.0], [0, 0.0, 0, 0.08695652173913043, 0.0], [0, 0.0, 6, 1.3043478260869565, 0.13043478260869565], 5.026380008899335, 1.9357889083825803]"
"['SB-037', 0.00868201069533825, 0.057490311563014984, 63, 0, 0, 0, [0, 0.0, 0, 0.0, 0.0], [0, 0.0, 0, 0.38095238095238093, 0.0], [1, 0.015873015873015872, 2, 1.7936507936507937, 0.015873015873015872], 4.583430945661121, 1.106893038392615]"
"['SB-043', 0.01099979318678379, 0.015882719308137894, 52, 0, 0, 0, [0, 0.0, 0, 0.0, 0.0], [0, 0.0, 0, 0.21153846153846154, 0.0], [1, 0.019230769230769232, 2, 1.2884615384615385, 0.019230769230769232], 2.7916735560558386, 0.570522979348979]"
"['SB-056', 0.011429857462644577, 0.033895932137966156, 41, 0, 0, 0, [0, 0.0, 0, 0.0, 0.0], [0, 0.0, 0, 0.14634146341463414, 0.0], [0, 0.0, 6, 1.0975609756097562, 0.07317073170731707], 3.8723998932696375, 0.9145234717965053]"
"['SB-059', 0.0064384471625089645, 0.04300576075911522, 51, 0, 0, 0, [0, 0.0, 0, 0.0, 0.0], [0, 0.0, 0, 0.0784313725490196, 0.0], [0, 0.0, 2, 0.8627450980392157, 0.0196078431372549], 2.7389148215650874, 0.7055822399168932]"
"['SB-060', 0.009770309552550316, 0.04317706078290939, 27, 0, 0, 0, [0, 0.0, 0, 0.0, 0.0], [0, 0.0, 0, 0.2222222222222222, 0.0], [1, 0.037037037037037035, 5, 0.7037037037037037, 0.09259259259259259], 3.832042380703878, 0.6277681146902342]"
"['SB-070', 0.007688011042773724, 0.02077334187924862, 60, 0, 0, 0, [0, 0.0, 0, 0.0, 0.0], [0, 0.0, 0, 0.05, 0.0], [0, 0.0, 3, 0.8833333333333333, 0.025], 2.326135885470328, 0.2209903865684458]"
"['SB-071', 0.009975689463317394, 0.027597755193710327, 19, 1, 1, 0, [1, 0.05263157894736842, 0, 0.05263157894736842, 0.0], [1, 0.05263157894736842, 1, 0.2631578947368421, 0.02631578947368421], [1, 0.05263157894736842, 4, 1.368421052631579, 0.10526315789473684], 4.585124619478589, inf]"
"['SB-073', 0.007858471013605595, 0.029252761974930763, 41, 0, 0, 0, [0, 0.0, 0, 0.0, 0.0], [0, 0.0, 0, 0.2682926829268293, 0.0], [2, 0.04878048780487805, 6, 1.3414634146341464, 0.07317073170731707], 4.288632238177715, 1.205540579712795]"
"['SB-078', 0.013382410630583763, 0.031917374581098557, 46, 0, 0, 0, [0, 0.0, 0, 0.0, 0.0], [0, 0.0, 0, 0.1956521739130435, 0.0], [1, 0.021739130434782608, 9, 2.108695652173913, 0.09782608695652174], 4.665560715563268, 1.7513935600148294]"
"['SB-079', 0.011353125795722008, 0.039645373821258545, 40, 0, 0, 0, [0, 0.0, 0, 0.0, 0.0], [0, 0.0, 0, 0.4, 0.0], [0, 0.0, 5, 1.6, 0.0625], 3.9740337443235227, 0.6956147984215759]"
