,Weighted Accuracy,Sensitivity/Recall,Specificity,Precision_class0,Precision_class1,Precision_avg,F1_class0,F1_class1,F1_avg,auc_roc_score,False_Discovery_Rate,False_Negative_Rate,False_Omission_Rate,False_Positive_Rate,Jaccard
SB-001_188_size_100_100_POP_FOLD_0,0.5986842105263157,0.5,0.6973684210526315,0.28125,0.8548387096774194,0.5680443548387097,0.36,0.7681159420289855,0.5640579710144927,0.5986842105263157,0.5,0.14516129032258066,0.3026315789473684,0.71875,0.21951219512195122
SB-001_188_size_100_100_Target_With_POP_FOLD_0,0.5751315789473683,0.381578947368421,0.7686842105263157,0.2876838235294118,0.8365102639296188,0.5620970437295153,0.3188888888888889,0.798531655225019,0.5587102720569539,0.5751315789473683,0.618421052631579,0.16348973607038125,0.2313157894736842,0.7123161764705883,0.1904012588512982
SB-001_188_size_100_100_POP_FOLD_1,0.5496562261268144,0.29411764705882354,0.8051948051948052,0.25,0.8378378378378378,0.5439189189189189,0.27027027027027023,0.8211920529801325,0.5457311616252014,0.5496562261268143,0.7058823529411765,0.16216216216216217,0.19480519480519481,0.75,0.15625
SB-001_188_size_100_100_Target_With_POP_FOLD_1,0.5731389238742179,0.3720588235294118,0.7742190242190242,0.2857142857142857,0.8355855855855856,0.5606499356499357,0.3226351351351351,0.8034531693472091,0.5630441522411722,0.5731389238742179,0.6279411764705882,0.1644144144144144,0.22578097578097578,0.7142857142857143,0.1935096153846154
SB-001_188_size_100_100_POP_FOLD_2,0.5466004583651642,0.35294117647058826,0.7402597402597403,0.23076923076923078,0.8382352941176471,0.5345022624434389,0.2790697674418605,0.7862068965517242,0.5326383319967923,0.5466004583651642,0.6470588235294118,0.16176470588235295,0.2597402597402597,0.7692307692307693,0.16216216216216217
SB-001_188_size_100_100_Target_With_POP_FOLD_2,0.5216110399933929,0.30147058823529416,0.7417514917514918,0.21955128205128205,0.8119747899159664,0.5157630359836243,0.2531712473572939,0.7750478927203065,0.5141095700388002,0.5216110399933929,0.6985294117647058,0.1880252100840336,0.2582485082485082,0.780448717948718,0.14518364518364518
SB-003_180_size_100_100_POP_FOLD_0,0.5875668449197861,0.45454545454545453,0.7205882352941176,0.3448275862068966,0.8032786885245902,0.5740531373657434,0.39215686274509803,0.7596899224806202,0.5759233926128591,0.5875668449197862,0.5454545454545454,0.19672131147540983,0.27941176470588236,0.6551724137931034,0.24390243902439024
SB-003_180_size_100_100_Target_With_POP_FOLD_0,0.5769097164557522,0.48917748917748916,0.6646419437340154,0.31715063520871145,0.8054854981084489,0.5613180666585802,0.38251910933865074,0.726952399256839,0.5547357542977449,0.5769097164557523,0.5108225108225108,0.19451450189155106,0.3353580562659847,0.6828493647912885,0.23653455284552843
SB-003_180_size_100_100_POP_FOLD_1,0.475,0.45,0.5,0.20454545454545456,0.7608695652173914,0.48270750988142297,0.28125000000000006,0.603448275862069,0.4423491379310345,0.475,0.55,0.2391304347826087,0.5,0.7954545454545454,0.16363636363636364
SB-003_180_size_100_100_Target_With_POP_FOLD_1,0.45602693056456844,0.33369565217391306,0.5783582089552239,0.19155844155844157,0.735273492286115,0.4634159669222783,0.23866421568627455,0.642809409248864,0.44073681246756924,0.45602693056456844,0.666304347826087,0.264726507713885,0.4216417910447761,0.8084415584415584,0.13616600790513833
SB-003_180_size_100_100_POP_FOLD_2,0.48197115384615385,0.3076923076923077,0.65625,0.26666666666666666,0.7,0.4833333333333333,0.28571428571428575,0.6774193548387096,0.48156682027649766,0.48197115384615385,0.6923076923076923,0.3,0.34375,0.7333333333333333,0.16666666666666666
SB-003_180_size_100_100_Target_With_POP_FOLD_2,0.4490838847393541,0.330316742081448,0.5678510273972602,0.2015151515151515,0.7304347826086957,0.46597496706192354,0.2412177985948478,0.6328273244781784,0.4370225615365131,0.4490838847393541,0.6696832579185521,0.26956521739130435,0.4321489726027397,0.7984848484848485,0.13787878787878788
SB-008_178_size_100_100_POP_FOLD_0,0.5721288515406162,0.7619047619047619,0.38235294117647056,0.27586206896551724,0.8387096774193549,0.557285873192436,0.40506329113924044,0.5252525252525252,0.4651579081958828,0.5721288515406162,0.23809523809523808,0.16129032258064516,0.6176470588235294,0.7241379310344828,0.25396825396825395
SB-008_178_size_100_100_Target_With_POP_FOLD_0,0.5942394596916107,0.6764069264069263,0.5120719929762949,0.31360671015843433,0.8328163771712158,0.5732115436648251,0.42287062862046765,0.6239708004413886,0.5234207145309281,0.5942394596916106,0.3235930735930736,0.16718362282878413,0.487928007023705,0.6863932898415657,0.2682884748102139
SB-008_178_size_100_100_POP_FOLD_1,0.5962406015037593,0.42105263157894735,0.7714285714285715,0.3333333333333333,0.8307692307692308,0.5820512820512821,0.372093023255814,0.8,0.586046511627907,0.5962406015037593,0.5789473684210527,0.16923076923076924,0.22857142857142856,0.6666666666666666,0.22857142857142856
SB-008_178_size_100_100_Target_With_POP_FOLD_1,0.5644664545980336,0.3355263157894737,0.7934065934065935,0.3333333333333333,0.7886240520043337,0.5609786926688336,0.3289036544850499,0.7897058823529413,0.5593047684189956,0.5644664545980336,0.6644736842105263,0.2113759479956663,0.20659340659340658,0.6666666666666666,0.1976190476190476
SB-008_178_size_100_100_POP_FOLD_2,0.6160256410256411,0.4166666666666667,0.8153846153846154,0.45454545454545453,0.7910447761194029,0.6227951153324287,0.43478260869565216,0.803030303030303,0.6189064558629775,0.6160256410256411,0.5833333333333334,0.208955223880597,0.18461538461538463,0.5454545454545454,0.2777777777777778
SB-008_178_size_100_100_Target_With_POP_FOLD_2,0.5944789859263544,0.5241228070175439,0.6648351648351648,0.3577075098814229,0.8141270392224922,0.5859172745519575,0.4020066889632107,0.7200992223116116,0.5610529556374111,0.5944789859263544,0.4758771929824561,0.1858729607775078,0.3351648351648352,0.642292490118577,0.25209643605870025
SB-011_210_size_100_100_POP_FOLD_0,0.696524064171123,0.5294117647058824,0.8636363636363636,0.42857142857142855,0.9047619047619048,0.6666666666666666,0.4736842105263158,0.8837209302325582,0.6787025703794369,0.696524064171123,0.47058823529411764,0.09523809523809523,0.13636363636363635,0.5714285714285714,0.3103448275862069
SB-011_210_size_100_100_Target_With_POP_FOLD_0,0.6875477463712758,0.5504201680672269,0.8246753246753247,0.41428571428571426,0.8923809523809524,0.6533333333333333,0.47213622291021673,0.8569548047389206,0.6645455138245686,0.6875477463712758,0.44957983193277307,0.10761904761904761,0.17532467532467533,0.5857142857142856,0.3090185676392573
SB-011_210_size_100_100_POP_FOLD_1,0.7678571428571428,0.7142857142857143,0.8214285714285714,0.5,0.92,0.71,0.588235294117647,0.8679245283018867,0.7280799112097669,0.7678571428571428,0.2857142857142857,0.08,0.17857142857142858,0.5,0.4166666666666667
SB-011_210_size_100_100_Target_With_POP_FOLD_1,0.7724646676852559,0.6512605042016807,0.8936688311688312,0.6346153846153846,0.9219565217391305,0.7782859531772575,0.6274509803921569,0.9061844863731656,0.7668177333826612,0.7724646676852559,0.3487394957983193,0.07804347826086958,0.10633116883116883,0.3653846153846154,0.45833333333333337
SB-011_210_size_100_100_POP_FOLD_2,0.8256704980842913,0.7777777777777778,0.8735632183908046,0.56,0.95,0.755,0.6511627906976745,0.9101796407185629,0.7806712157081187,0.8256704980842913,0.2222222222222222,0.05,0.12643678160919541,0.44,0.4827586206896552
SB-011_210_size_100_100_Target_With_POP_FOLD_2,0.7856293666892045,0.663888888888889,0.90736984448952,0.62375,0.924438202247191,0.7740941011235956,0.6311369509043928,0.9148599353018102,0.7729984431031015,0.7856293666892045,0.33611111111111114,0.075561797752809,0.09263015551048007,0.37625,0.4613793103448276
SB-012_194_size_100_100_POP_FOLD_0,0.7771144278606965,0.7333333333333333,0.8208955223880597,0.6470588235294118,0.873015873015873,0.7600373482726424,0.6875,0.8461538461538461,0.7668269230769231,0.7771144278606965,0.26666666666666666,0.12698412698412698,0.1791044776119403,0.35294117647058826,0.5238095238095238
SB-012_194_size_100_100_Target_With_POP_FOLD_0,0.7295625049356392,0.662962962962963,0.7961620469083156,0.5735294117647058,0.851892551892552,0.7127109818286289,0.614936440677966,0.823076923076923,0.7190066818774447,0.7295625049356392,0.337037037037037,0.1481074481074481,0.20383795309168443,0.42647058823529416,0.4479512735326689
SB-012_194_size_100_100_POP_FOLD_1,0.7674603174603174,0.7777777777777778,0.7571428571428571,0.5526315789473685,0.8983050847457628,0.7254683318465656,0.6461538461538462,0.8217054263565892,0.7339296362552177,0.7674603174603174,0.2222222222222222,0.1016949152542373,0.24285714285714285,0.4473684210526316,0.4772727272727273
SB-012_194_size_100_100_Target_With_POP_FOLD_1,0.7685560293769249,0.7555555555555555,0.7815565031982943,0.5906015037593986,0.8846364133406233,0.7376189585500109,0.6615384615384615,0.8294573643410852,0.7454979129397734,0.7685560293769249,0.24444444444444444,0.11536358665937671,0.21844349680170577,0.40939849624060154,0.49445031712473575
SB-012_194_size_100_100_POP_FOLD_2,0.7724828934506354,0.7419354838709677,0.803030303030303,0.6388888888888888,0.8688524590163934,0.7538706739526411,0.6865671641791045,0.8346456692913385,0.7606064167352216,0.7724828934506354,0.25806451612903225,0.13114754098360656,0.19696969696969696,0.3611111111111111,0.5227272727272727
SB-012_194_size_100_100_Target_With_POP_FOLD_2,0.7520323459669211,0.7363523573200992,0.7677123346137431,0.5694444444444444,0.8751041956098916,0.722274320027168,0.6401585820895521,0.8173228346456693,0.7287407083676107,0.7520323459669211,0.2636476426799007,0.12489580439010836,0.23228766538625692,0.4305555555555556,0.4724747474747475
SB-022_204_size_100_100_POP_FOLD_0,0.5719720989220038,0.42105263157894735,0.7228915662650602,0.25806451612903225,0.8450704225352113,0.5515674693321218,0.31999999999999995,0.7792207792207793,0.5496103896103897,0.5719720989220038,0.5789473684210527,0.15492957746478872,0.27710843373493976,0.7419354838709677,0.19047619047619047
SB-022_204_size_100_100_Target_With_POP_FOLD_0,0.5350714153146605,0.38552631578947366,0.6846165148398472,0.22625448028673834,0.8240503627827571,0.5251524215347477,0.285,0.7477184977184979,0.5163592488592489,0.5350714153146605,0.6144736842105263,0.17594963721724283,0.3153834851601528,0.7737455197132617,0.16666666666666666
SB-022_204_size_100_100_POP_FOLD_1,0.4856906989543203,0.17391304347826086,0.7974683544303798,0.2,0.7682926829268293,0.4841463414634146,0.18604651162790697,0.782608695652174,0.48432760364004046,0.4856906989543203,0.8260869565217391,0.23170731707317074,0.20253164556962025,0.8,0.10256410256410256
SB-022_204_size_100_100_Target_With_POP_FOLD_1,0.5382668611050672,0.30570652173913043,0.7708272004710038,0.2206896551724138,0.8225025058469763,0.5215960805096951,0.24857881136950905,0.7938200710965273,0.5211994412330181,0.5382668611050672,0.6942934782608696,0.17749749415302374,0.22917279952899616,0.7793103448275862,0.143387314439946
SB-022_204_size_100_100_POP_FOLD_2,0.5835365853658536,0.35,0.8170731707317073,0.3181818181818182,0.8375,0.5778409090909091,0.3333333333333333,0.8271604938271605,0.5802469135802469,0.5835365853658536,0.65,0.1625,0.18292682926829268,0.6818181818181818,0.2
SB-022_204_size_100_100_Target_With_POP_FOLD_2,0.5785469864051842,0.33289473684210524,0.8241992359682633,0.3090909090909091,0.8394817073170732,0.5742863082039911,0.3205128205128205,0.8317620650953985,0.5761374428041095,0.5785469864051842,0.6671052631578948,0.16051829268292683,0.1758007640317367,0.6909090909090909,0.19090909090909092
SB-023_194_size_100_100_POP_FOLD_0,0.6325203252032521,0.5333333333333333,0.7317073170731707,0.26666666666666666,0.8955223880597015,0.5810945273631841,0.3555555555555555,0.8053691275167785,0.5804623415361669,0.6325203252032521,0.4666666666666667,0.1044776119402985,0.2682926829268293,0.7333333333333333,0.21621621621621623
SB-023_194_size_100_100_Target_With_POP_FOLD_0,0.556556966254594,0.35,0.763113932509188,0.23859649122807017,0.8195560658247225,0.5290762785263964,0.27080103359173124,0.7867905240232899,0.5287957788075105,0.556556966254594,0.65,0.18044393417527743,0.2368860674908119,0.7614035087719297,0.15939015939015938
SB-023_194_size_100_100_POP_FOLD_1,0.5104588394062078,0.3157894736842105,0.7051282051282052,0.20689655172413793,0.8088235294117647,0.5078600405679513,0.25,0.7534246575342467,0.5017123287671234,0.5104588394062078,0.6842105263157895,0.19117647058823528,0.2948717948717949,0.7931034482758621,0.14285714285714285
