,humidin,no2,pm25diffin,airp,so2,solrhr,solramnt,pm25,pm25in,temp,tempin,humidiffin,co2in,grdt,income,o3,road_dist,windsd,dewpt,tempdiffin,co,y_am_pef,humid,varp,seap,cooking,pm10
Mean_df1,0.3568771929824561,0.30266666666666664,0.45101754385964904,0.6515789473684209,0.266859649122807,0.5475087719298246,0.2926140350877193,0.2622982456140351,0.3084736842105263,0.45836842105263154,0.5170701754385965,0.44926315789473686,0.35342105263157886,0.3327719298245614,0.0,0.31756140350877193,0.5,0.3642456140350877,0.4368245614035087,0.5750350877192982,0.30933333333333335,0.29910526315789476,0.388578947368421,0.2128421052631579,0.6491052631578947,0.5,0.4563157894736843
Std_df1,0.18454432976692295,0.22467447351138722,0.12356960028780631,0.1771734367554271,0.142200994395319,0.26420339316025726,0.168519472633407,0.23597775053353479,0.17453040108317988,0.21951827385525555,0.21238701699366813,0.2005160775808789,0.16120948520574324,0.20532222215892926,0.0,0.15545520916050978,0.0,0.2583117082063669,0.21658865908239003,0.204747489511234,0.20478903197937048,0.0948178110548492,0.23524303142619649,0.18017727277339987,0.17795120561251437,0.0,0.1995878930889075
Mean_df2,0.3223593533039093,0.30682915449142456,0.369353324174881,0.7328919768333435,0.4153921902179718,0.5299437046051025,0.15813420712947845,0.11171863228082657,0.3531505763530731,0.6029537320137024,0.8251426815986633,0.3920738399028778,0.13439787924289703,0.31991568207740784,0.0014211537782102823,0.03648495301604271,0.4754122793674469,0.48668283224105835,0.24561747908592224,0.4156736135482788,0.5057882070541382,0.36086025834083557,0.18098841607570648,0.3854842185974121,0.45145007967948914,0.6655956506729126,0.3257400095462799
Std_df2,0.28812700510025024,0.2977001965045929,0.2744133770465851,0.48797696828842163,0.26777341961860657,0.2570137083530426,0.2315124124288559,0.17733125388622284,0.2538747489452362,0.2725308835506439,0.4051210880279541,0.3423224091529846,0.23251976072788239,0.2288895696401596,0.010729475878179073,0.08844678103923798,0.26747533679008484,0.31113937497138977,0.17776571214199066,0.43675458431243896,0.45099055767059326,0.259784460067749,0.19195757806301117,0.3074095845222473,0.3436537981033325,0.512893557548523,0.2559812664985657
