Model,Train Loss,Validation Loss
L27_E18_B14_D8_10,0.01300005428493023,0.013802685774862766
L27_E18_B14_D10_12,0.01162154134362936,0.012373574078083038
L27_E18_B14_D12_14,0.01153834443539381,0.012459710240364075
L27_E18_B14_D14_16,0.007783446926623583,0.008546053431928158
L27_E18_B14_D16_18,0.00943066831678152,0.010374586097896099
L27_E18_B14_D18_20,0.006513308268040419,0.00731426477432251
L27_E18_B14_D20_22,0.005912301130592823,0.006759904325008392
L27_E20_B14_D8_10,0.016806870698928833,0.018059058114886284
L27_E20_B14_D10_12,0.008780029602348804,0.009955351240932941
L27_E20_B14_D12_14,0.01042971108108759,0.01118997111916542
L27_E20_B14_D14_16,0.006130008026957512,0.006989215034991503
L27_E20_B14_D16_18,0.008706512860953808,0.009454826824367046
L27_E20_B14_D18_20,0.008053085766732693,0.008862650953233242
L27_E20_B14_D20_22,0.011958151124417782,0.013038316741585732
L27_E8_B16_D8_10,0.014707897789776325,0.01568538509309292
L27_E8_B16_D10_12,0.014292391948401928,0.01534644141793251
L27_E8_B16_D12_14,0.01062666904181242,0.011683163233101368
L27_E8_B16_D14_16,0.010282963514328003,0.011283702217042446
L27_E8_B16_D16_18,0.012489093467593193,0.01356927677989006
L27_E8_B16_D18_20,0.012143431231379509,0.013327834196388721
L27_E8_B16_D20_22,0.01163502037525177,0.013186471536755562
L27_E10_B16_D8_10,0.013204317539930344,0.01383900921791792
L27_E10_B16_D10_12,0.011470751836895943,0.012621661648154259
L27_E10_B16_D12_14,0.012431073933839798,0.013525305315852165
L27_E10_B16_D14_16,0.011075954884290695,0.012355087324976921
L27_E10_B16_D16_18,0.012087717652320862,0.013246971182525158
L27_E10_B16_D18_20,0.008610766381025314,0.009763364680111408
L27_E10_B16_D20_22,0.008743473328649998,0.009556674398481846
L27_E12_B16_D8_10,0.012237083166837692,0.013495111837983131
L27_E12_B16_D10_12,0.012445184402167797,0.01321850623935461
L27_E12_B16_D12_14,0.012660044245421886,0.013610263355076313
L27_E12_B16_D14_16,0.010751074180006981,0.01200163085013628
L27_E12_B16_D16_18,0.007668755948543549,0.008499017916619778
L27_E12_B16_D18_20,0.007333050481975079,0.00832175649702549
L27_E12_B16_D20_22,0.007262186147272587,0.008105595596134663
L27_E14_B16_D8_10,0.01493331789970398,0.015701916068792343
L27_E14_B16_D10_12,0.010819823481142521,0.011851457878947258
L27_E14_B16_D12_14,0.011807830072939396,0.013031777925789356
L27_E14_B16_D14_16,0.009443962946534157,0.010417950339615345
L27_E14_B16_D16_18,0.008523818105459213,0.009271245449781418
L27_E14_B16_D18_20,0.0060999104753136635,0.006672556512057781
L27_E14_B16_D20_22,0.007086446043103933,0.007888654246926308
L27_E16_B16_D8_10,0.012394435703754425,0.013790479861199856
L27_E16_B16_D10_12,0.014332486316561699,0.015413977205753326
L27_E16_B16_D12_14,0.008995143696665764,0.009721547365188599
L27_E16_B16_D14_16,0.008790411055088043,0.009801735170185566
L27_E16_B16_D16_18,0.009462445043027401,0.010513038374483585
L27_E16_B16_D18_20,0.007301699835807085,0.008081719279289246
L27_E16_B16_D20_22,0.008690141141414642,0.009726056829094887
L27_E18_B16_D8_10,0.012492368929088116,0.01356729120016098
L27_E18_B16_D10_12,0.010983861982822418,0.012024753727018833
L27_E18_B16_D12_14,0.012057635001838207,0.01357156503945589
L27_E18_B16_D14_16,0.008985096588730812,0.00943822506815195
L27_E18_B16_D16_18,0.007117574103176594,0.007970509119331837
L27_E18_B16_D18_20,0.0062154121696949005,0.006995002739131451
L27_E18_B16_D20_22,0.007729026023298502,0.008520536124706268
L27_E20_B16_D8_10,0.012345083057880402,0.013064292259514332
L27_E20_B16_D10_12,0.008790415711700916,0.009389718063175678
L27_E20_B16_D12_14,0.009321477264165878,0.010238445363938808
L27_E20_B16_D14_16,0.007244184147566557,0.008022554218769073
L27_E20_B16_D16_18,0.0062503572553396225,0.007100870832800865
