,co2in,grdt,pm10,pm25,windsd,varp,road_dist,humid,cooking,o3,income,temp,tempdiffin,solramnt,humidin,pm25diffin,seap,tempin,co,dewpt,solrhr,pm25in,y_am_pef,airp,so2,no2,humidiffin
Mean_df1,0.35342105263157886,0.3327719298245614,0.4563157894736843,0.2622982456140351,0.3642456140350877,0.2128421052631579,0.5,0.388578947368421,0.5,0.31756140350877193,0.0,0.45836842105263154,0.5750350877192982,0.2926140350877193,0.3568771929824561,0.45101754385964904,0.6491052631578947,0.5170701754385965,0.30933333333333335,0.4368245614035087,0.5475087719298246,0.3084736842105263,0.29910526315789476,0.6515789473684209,0.266859649122807,0.30266666666666664,0.44926315789473686
Std_df1,0.16120948520574324,0.20532222215892926,0.1995878930889075,0.23597775053353479,0.2583117082063669,0.18017727277339987,0.0,0.23524303142619649,0.0,0.15545520916050978,0.0,0.21951827385525555,0.204747489511234,0.168519472633407,0.18454432976692295,0.12356960028780631,0.17795120561251437,0.21238701699366813,0.20478903197937048,0.21658865908239003,0.26420339316025726,0.17453040108317988,0.0948178110548492,0.1771734367554271,0.142200994395319,0.22467447351138722,0.2005160775808789
Mean_df2,0.0727815330028534,0.5850746035575867,0.5877906680107117,0.31868547201156616,0.3035602569580078,0.018503451719880104,0.363106906414032,0.39959681034088135,0.8514556884765625,0.4722955822944641,0.14657089114189148,0.5063602328300476,0.7657499313354492,0.24530081450939178,0.029268842190504074,0.30828791856765747,0.7359330058097839,0.6377714276313782,0.3888806998729706,0.35156920552253723,0.570410430431366,0.3713478744029999,0.2284141182899475,0.6958872675895691,0.41124215722084045,0.40451785922050476,0.16740281879901886
Std_df2,0.16261103749275208,0.3986313045024872,0.4156316816806793,0.37696129083633423,0.3628915846347809,0.049624647945165634,0.16724997758865356,0.3847813010215759,0.15668484568595886,0.359966516494751,0.24778401851654053,0.3837128281593323,0.3662899434566498,0.3511047959327698,0.0745110735297203,0.3730688989162445,0.3337574005126953,0.38949054479599,0.35963401198387146,0.33900314569473267,0.45182061195373535,0.4297012686729431,0.2954154908657074,0.31994178891181946,0.39689940214157104,0.41712117195129395,0.2679988145828247
