,Weighted Accuracy,Sensitivity/Recall,Specificity,Precision_class0,Precision_class1,Precision_avg,F1_class0,F1_class1,F1_avg,auc_roc_score,False_Discovery_Rate,False_Negative_Rate,False_Omission_Rate,False_Positive_Rate,Jaccard
SB-001_188_size_100_100_POP_FOLD_0,0.5855263157894737,0.5,0.6710526315789473,0.2647058823529412,0.85,0.5573529411764706,0.3461538461538462,0.7499999999999999,0.548076923076923,0.5855263157894737,0.5,0.15,0.32894736842105265,0.7352941176470589,0.20930232558139536
SB-001_188_size_100_100_Target_With_POP_FOLD_0,0.5315350877192982,0.4342105263157895,0.628859649122807,0.2244582043343653,0.8178571428571428,0.5211576735957542,0.2958839406207827,0.7108778625954197,0.5033809016081012,0.5315350877192982,0.5657894736842105,0.18214285714285713,0.371140350877193,0.7755417956656347,0.1746511627906977
SB-001_188_size_100_100_POP_FOLD_1,0.4466374269005848,0.2222222222222222,0.6710526315789473,0.13793103448275862,0.7846153846153846,0.4612732095490716,0.1702127659574468,0.7234042553191491,0.44680851063829796,0.4466374269005848,0.7777777777777778,0.2153846153846154,0.32894736842105265,0.8620689655172413,0.09302325581395349
SB-001_188_size_100_100_Target_With_POP_FOLD_1,0.4724415204678363,0.24269005847953215,0.7021929824561404,0.16896551724137931,0.7908584169453734,0.47991196709337636,0.19874274661508703,0.7436465721040189,0.47119465935955296,0.4724415204678363,0.7573099415204678,0.20914158305462655,0.29780701754385963,0.8310344827586207,0.11061419200954084
SB-001_188_size_100_100_POP_FOLD_2,0.6047152480097979,0.43478260869565216,0.7746478873239436,0.38461538461538464,0.8088235294117647,0.5967194570135747,0.40816326530612246,0.7913669064748201,0.5997650858904713,0.6047152480097979,0.5652173913043478,0.19117647058823528,0.22535211267605634,0.6153846153846154,0.2564102564102564
SB-001_188_size_100_100_Target_With_POP_FOLD_2,0.5697683382906132,0.39596273291925466,0.7435739436619718,0.2815934065934066,0.8362299465240641,0.5589116765587354,0.3231292517006803,0.7860944121415196,0.5546118319211,0.5697683382906132,0.6040372670807453,0.16377005347593582,0.2564260563380282,0.7184065934065934,0.19577269577269577
SB-003_180_size_100_100_POP_FOLD_0,0.484375,0.5,0.46875,0.2765957446808511,0.6976744186046512,0.4871350816427511,0.3561643835616438,0.5607476635514019,0.4584560235565229,0.484375,0.5,0.3023255813953488,0.53125,0.723404255319149,0.21666666666666667
SB-003_180_size_100_100_Target_With_POP_FOLD_0,0.5026629230459307,0.45588235294117646,0.5494434931506849,0.24123904881101377,0.7595514950166113,0.5003952719138125,0.31533709374160623,0.6369629790625226,0.47615003640206444,0.5026629230459307,0.5441176470588236,0.2404485049833887,0.45055650684931503,0.7587609511889862,0.18787878787878787
SB-003_180_size_100_100_POP_FOLD_1,0.5044477390659747,0.47368421052631576,0.5352112676056338,0.21428571428571427,0.7916666666666666,0.5029761904761905,0.29508196721311475,0.6386554621848739,0.4668687146989943,0.5044477390659747,0.5263157894736842,0.20833333333333334,0.4647887323943662,0.7857142857142857,0.17307692307692307
SB-003_180_size_100_100_Target_With_POP_FOLD_1,0.47476174832086615,0.34100877192982454,0.6085147247119078,0.2032967032967033,0.7473958333333333,0.4753462683150183,0.24754098360655738,0.6654815772462831,0.4565112804264202,0.47476174832086615,0.6589912280701754,0.2526041666666667,0.3914852752880922,0.7967032967032968,0.1420940170940171
