Model,Train Loss,Validation Loss
L27_E18_16_B8_D12_14,0.014518226496875286,0.015710126608610153
L27_E18_16_B8_D14_16,0.016261812299489975,0.017077254131436348
L27_E18_16_B8_D16_18,0.015998754650354385,0.016779478639364243
L27_E18_16_B8_D18_20,0.01221639383584261,0.01353857945650816
L27_E18_16_B8_D20_22,0.011996383778750896,0.012970180250704288
L27_E20_18_B8_D8_10,0.016950121149420738,0.018167944625020027
L27_E20_18_B8_D10_12,0.016228262335062027,0.017585130408406258
L27_E20_18_B8_D12_14,0.01203365158289671,0.013247733004391193
L27_E20_18_B8_D14_16,0.012336556799709797,0.013286469504237175
L27_E20_18_B8_D16_18,0.013170352205634117,0.014423176646232605
L27_E20_18_B8_D18_20,0.015890805050730705,0.01727750152349472
L27_E20_18_B8_D20_22,0.011733909137547016,0.013256620615720749
L27_E22_20_B8_D8_10,0.012868226505815983,0.013533394783735275
L27_E22_20_B8_D10_12,0.01938486471772194,0.020471498370170593
L27_E22_20_B8_D12_14,0.014507114887237549,0.015776393935084343
L27_E22_20_B8_D14_16,0.01932990550994873,0.02025722712278366
L27_E22_20_B8_D16_18,0.01392732746899128,0.015154891647398472
L27_E22_20_B8_D18_20,0.011623283848166466,0.012673279270529747
L27_E22_20_B8_D20_22,0.013395472429692745,0.014425130560994148
L27_E10_8_B10_D8_10,0.017161227762699127,0.018291475251317024
L27_E10_8_B10_D10_12,0.016146790236234665,0.01707981713116169
L27_E10_8_B10_D12_14,0.014248283579945564,0.015301952138543129
L27_E10_8_B10_D14_16,0.018543623387813568,0.01954762451350689
L27_E10_8_B10_D16_18,0.017850860953330994,0.01888316497206688
L27_E10_8_B10_D18_20,0.016540726646780968,0.017729779705405235
L27_E10_8_B10_D20_22,0.016543474048376083,0.017688266932964325
L27_E12_10_B10_D8_10,0.019193071871995926,0.02015456184744835
L27_E12_10_B10_D10_12,0.014488226734101772,0.015358809381723404
L27_E12_10_B10_D12_14,0.016801927238702774,0.017897959798574448
L27_E12_10_B10_D14_16,0.015575977973639965,0.01640935055911541
