,co2in,windsd,dewpt,pm25diffin,solramnt,solrhr,humidiffin,temp,pm25,tempdiffin,y_am_pef,pm10,no2,co,so2,varp,grdt,humidin,tempin,pm25in,seap,humid,airp,o3
Mean_df1,0.35342105263157886,0.3642456140350877,0.4368245614035087,0.45101754385964904,0.2926140350877193,0.5475087719298246,0.44926315789473686,0.45836842105263154,0.2622982456140351,0.5750350877192982,0.29910526315789476,0.4563157894736843,0.30266666666666664,0.30933333333333335,0.266859649122807,0.2128421052631579,0.3327719298245614,0.3568771929824561,0.5170701754385965,0.3084736842105263,0.6491052631578947,0.388578947368421,0.6515789473684209,0.31756140350877193
Std_df1,0.16120948520574324,0.2583117082063669,0.21658865908239003,0.12356960028780631,0.168519472633407,0.26420339316025726,0.2005160775808789,0.21951827385525555,0.23597775053353479,0.204747489511234,0.0948178110548492,0.1995878930889075,0.22467447351138722,0.20478903197937048,0.142200994395319,0.18017727277339987,0.20532222215892926,0.18454432976692295,0.21238701699366813,0.17453040108317988,0.17795120561251437,0.23524303142619649,0.1771734367554271,0.15545520916050978
Mean_df2,0.2857467830181122,0.45367375016212463,0.3468171954154968,0.45755866169929504,0.25282496213912964,0.6199510097503662,0.4173766076564789,0.3406701683998108,0.26775193214416504,0.6554577946662903,0.28725171089172363,0.4575560986995697,0.2747144401073456,0.2857810854911804,0.2601243853569031,0.17301584780216217,0.25845712423324585,0.33313432335853577,0.4542825222015381,0.29263240098953247,0.7018440365791321,0.38945475220680237,0.7029013633728027,0.32715603709220886
Std_df2,0.08394090086221695,0.1688917726278305,0.20006392896175385,0.08444840461015701,0.05476959049701691,0.16595043241977692,0.08222024142742157,0.1852998286485672,0.20971517264842987,0.18506355583667755,0.035891592502593994,0.15744304656982422,0.13582751154899597,0.11892742663621902,0.08212624490261078,0.1360579878091812,0.15601111948490143,0.19265133142471313,0.1785094439983368,0.1331697255373001,0.1327478140592575,0.2365303337574005,0.12381934374570847,0.04132971540093422
