,Weighted Accuracy,Sensitivity/Recall,Specificity,Precision_class0,Precision_class1,Precision_avg,F1_class0,F1_class1,F1_avg,auc_roc_score,False_Discovery_Rate,False_Negative_Rate,False_Omission_Rate,False_Positive_Rate,Jaccard
SB-003_180_size_100_300_POP_FOLD_2,0.475,0.35,0.6,0.2,0.7636363636363637,0.4818181818181818,0.2545454545454545,0.6719999999999999,0.4632727272727272,0.475,0.65,0.23636363636363636,0.4,0.8,0.14583333333333334
SB-003_180_size_100_300_Target_With_POP_FOLD_2,0.45442307692307693,0.355,0.5538461538461539,0.20975609756097563,0.7185528756957329,0.46415448662835423,0.26363636363636367,0.6254736842105262,0.4445550239234449,0.45442307692307693,0.645,0.28144712430426716,0.4461538461538462,0.7902439024390244,0.15186403508771928
SB-008_178_size_100_300_POP_FOLD_0,0.5840579710144927,0.4,0.7681159420289855,0.3333333333333333,0.8153846153846154,0.5743589743589743,0.3636363636363636,0.7910447761194029,0.5773405698778833,0.5840579710144927,0.6,0.18461538461538463,0.2318840579710145,0.6666666666666666,0.2222222222222222
SB-008_178_size_100_300_Target_With_POP_FOLD_0,0.6245388669301712,0.5695652173913044,0.6795125164690382,0.35984848484848486,0.841025641025641,0.6004370629370629,0.4355495251017638,0.746873739411053,0.5912116322564084,0.6245388669301712,0.4304347826086956,0.15897435897435896,0.3204874835309618,0.6401515151515151,0.2811111111111111
SB-008_178_size_100_300_POP_FOLD_1,0.650625,0.52,0.78125,0.48148148148148145,0.8064516129032258,0.6439665471923536,0.5,0.7936507936507936,0.6468253968253967,0.650625,0.48,0.1935483870967742,0.21875,0.5185185185185185,0.3333333333333333
SB-008_178_size_100_300_Target_With_POP_FOLD_1,0.6991387910798122,0.6766666666666667,0.7216109154929577,0.43304843304843305,0.8732258064516129,0.6531371197500229,0.513157894736842,0.7852551488915125,0.6492065218141773,0.6991387910798122,0.3233333333333333,0.1267741935483871,0.27838908450704225,0.566951566951567,0.34523809523809523
SB-008_178_size_100_300_POP_FOLD_2,0.556766917293233,0.8421052631578947,0.2714285714285714,0.23880597014925373,0.8636363636363636,0.5512211668928086,0.37209302325581395,0.4130434782608695,0.39256825075834173,0.556766917293233,0.15789473684210525,0.13636363636363635,0.7285714285714285,0.7611940298507462,0.22857142857142856
SB-008_178_size_100_300_Target_With_POP_FOLD_2,0.5583514073645652,0.650219298245614,0.4664835164835165,0.2860696517412935,0.8157467532467533,0.5509082024940234,0.37902896776825784,0.561893639956881,0.47046130386256946,0.5583514073645652,0.3497807017543859,0.18425324675324675,0.5335164835164835,0.7139303482587065,0.23385093167701865
SB-011_210_size_100_300_POP_FOLD_0,0.7977332170880558,0.8387096774193549,0.7567567567567568,0.5909090909090909,0.9180327868852459,0.7544709388971684,0.6933333333333334,0.8296296296296297,0.7614814814814815,0.7977332170880558,0.16129032258064516,0.08196721311475409,0.24324324324324326,0.4090909090909091,0.5306122448979592
SB-011_210_size_100_300_Target_With_POP_FOLD_0,0.8006217455303293,0.8256048387096775,0.7756386523509811,0.6125277161862528,0.912141393442623,0.7623345548144379,0.7028310502283105,0.8381724790483915,0.770501764638351,0.8006217455303293,0.17439516129032256,0.08785860655737704,0.22436134764901888,0.3874722838137472,0.5419018671298307
SB-011_210_size_100_300_POP_FOLD_1,0.8015741507870754,0.9411764705882353,0.6619718309859155,0.5714285714285714,0.9591836734693877,0.7653061224489796,0.7111111111111111,0.7833333333333333,0.7472222222222222,0.8015741507870754,0.058823529411764705,0.04081632653061224,0.3380281690140845,0.42857142857142855,0.5517241379310345
SB-011_210_size_100_300_Target_With_POP_FOLD_1,0.7911001425441728,0.8498985801217038,0.732301704966642,0.583011583011583,0.9281212484993997,0.7555664157554913,0.6888888888888889,0.8152777777777778,0.7520833333333333,0.7911001425441728,0.15010141987829614,0.07187875150060023,0.26769829503335807,0.416988416988417,0.5258620689655172
SB-011_210_size_100_300_POP_FOLD_2,0.754708904109589,0.6875,0.821917808219178,0.6285714285714286,0.8571428571428571,0.7428571428571429,0.6567164179104478,0.8391608391608392,0.7479386285356435,0.754708904109589,0.3125,0.14285714285714285,0.1780821917808219,0.37142857142857144,0.4888888888888889
SB-011_210_size_100_300_Target_With_POP_FOLD_2,0.7822149577217519,0.7953629032258065,0.7690670122176971,0.6,0.9017857142857142,0.7508928571428571,0.6783582089552239,0.8272727272727273,0.7528154681139756,0.7822149577217519,0.20463709677419356,0.09821428571428571,0.23093298778230284,0.4,0.5136752136752136
SB-012_194_size_100_300_POP_FOLD_0,0.7761904761904761,0.6666666666666666,0.8857142857142857,0.6923076923076923,0.8732394366197183,0.7827735644637053,0.6792452830188679,0.8794326241134751,0.7793389535661714,0.7761904761904762,0.3333333333333333,0.1267605633802817,0.11428571428571428,0.3076923076923077,0.5142857142857142
