,Weighted Accuracy,Sensitivity/Recall,Specificity,Precision_class0,Precision_class1,Precision_avg,F1_class0,F1_class1,F1_avg,auc_roc_score,False_Discovery_Rate,False_Negative_Rate,False_Omission_Rate,False_Positive_Rate,Jaccard
SB-003_180_size_100_100_POP_FOLD_2,0.4847501622323167,0.5217391304347826,0.44776119402985076,0.24489795918367346,0.7317073170731707,0.4883026381284221,0.3333333333333333,0.5555555555555556,0.4444444444444444,0.4847501622323167,0.4782608695652174,0.2682926829268293,0.5522388059701493,0.7551020408163265,0.2
SB-003_180_size_100_100_Target_With_POP_FOLD_2,0.4959465096875869,0.36086956521739133,0.6310234541577825,0.24009603841536614,0.756264617440695,0.4981803279280306,0.27477477477477474,0.6763791763791764,0.47557697557697554,0.4959465096875869,0.6391304347826088,0.24373538255930505,0.3689765458422175,0.7599039615846338,0.1606060606060606
SB-008_178_size_100_100_POP_FOLD_0,0.5,0.0,1.0,0.0,0.7415730337078652,0.3707865168539326,0.0,0.8516129032258065,0.42580645161290326,0.5,1.0,0.25842696629213485,0.0,0.0,0.0
SB-008_178_size_100_100_Target_With_POP_FOLD_0,0.5659420289855073,0.4,0.7318840579710145,0.1509433962264151,0.815230961298377,0.48308717876239604,0.21917808219178084,0.730568356374808,0.4748732192832944,0.5659420289855073,0.6,0.18476903870162298,0.26811594202898553,0.3490566037735849,0.14035087719298245
SB-008_178_size_100_100_POP_FOLD_1,0.5,1.0,0.0,0.2247191011235955,0.0,0.11235955056179775,0.36697247706422015,0.0,0.18348623853211007,0.5,0.0,0.0,1.0,0.7752808988764045,0.2247191011235955
SB-008_178_size_100_100_Target_With_POP_FOLD_1,0.5108695652173914,0.5217391304347826,0.5,0.6123595505617978,0.375,0.4936797752808989,0.22515290519877673,0.42857142857142855,0.32686216688510267,0.5108695652173914,0.4782608695652174,0.125,0.5,0.38764044943820225,0.13409868099658034
SB-008_178_size_100_100_POP_FOLD_2,0.5,1.0,0.0,0.24719101123595505,0.0,0.12359550561797752,0.3963963963963964,0.0,0.1981981981981982,0.5,0.0,0.0,1.0,0.7528089887640449,0.24719101123595505
SB-008_178_size_100_100_Target_With_POP_FOLD_2,0.5089285714285714,0.6428571428571428,0.375,0.2540302882266732,0.38636363636363635,0.32019696229515476,0.3345618345618345,0.3805970149253732,0.3575794247436038,0.5089285714285714,0.35714285714285715,0.11363636363636363,0.625,0.7459697117733268,0.20254287403903015
SB-011_210_size_100_100_POP_FOLD_0,0.5229885057471264,1.0,0.04597701149425287,0.1782178217821782,1.0,0.5891089108910891,0.3025210084033613,0.08791208791208792,0.19521654815772463,0.5229885057471264,0.0,0.0,0.9540229885057471,0.8217821782178217,0.1782178217821782
SB-011_210_size_100_100_Target_With_POP_FOLD_0,0.6372295469912103,0.975,0.29945909398242054,0.25577557755775576,0.9895833333333333,0.6226794554455446,0.3980137509549274,0.39733950260266043,0.3976766267787939,0.6372295469912103,0.025,0.010416666666666666,0.7005409060175795,0.7442244224422442,0.252902014339365
SB-011_210_size_100_100_POP_FOLD_1,0.5057471264367817,1.0,0.011494252873563218,0.17307692307692307,1.0,0.5865384615384616,0.29508196721311475,0.022727272727272724,0.15890461997019373,0.5057471264367817,0.0,0.0,0.9885057471264368,0.8269230769230769,0.17307692307692307
SB-011_210_size_100_100_Target_With_POP_FOLD_1,0.5028735632183908,0.5,0.5057471264367817,0.08653846153846154,0.9047619047619048,0.49565018315018317,0.14754098360655737,0.45873205741626794,0.30313652051141265,0.5028735632183908,0.5,0.09523809523809523,0.4942528735632184,0.41346153846153844,0.08653846153846154
SB-011_210_size_100_100_POP_FOLD_2,0.5,1.0,0.0,0.2,0.0,0.1,0.33333333333333337,0.0,0.16666666666666669,0.5,0.0,0.0,1.0,0.8,0.2
SB-011_210_size_100_100_Target_With_POP_FOLD_2,0.5147058823529411,0.5294117647058824,0.5,0.6,0.4230769230769231,0.5115384615384616,0.22222222222222224,0.4583333333333333,0.3402777777777778,0.5147058823529411,0.47058823529411764,0.07692307692307693,0.5,0.4,0.12941176470588237
SB-012_194_size_100_100_POP_FOLD_0,0.35343915343915344,0.5925925925925926,0.11428571428571428,0.20512820512820512,0.42105263157894735,0.3130904183535762,0.3047619047619048,0.17977528089887637,0.2422685928303906,0.35343915343915344,0.4074074074074074,0.5789473684210527,0.8857142857142857,0.7948717948717948,0.1797752808988764
SB-012_194_size_100_100_Target_With_POP_FOLD_0,0.431321566769328,0.31296296296296294,0.549680170575693,0.35256410256410253,0.5578947368421052,0.4552294197031039,0.1836309523809524,0.4972950478568456,0.34046300011889896,0.431321566769328,0.687037037037037,0.4421052631578948,0.45031982942430704,0.6474358974358974,0.10601667270750272
SB-012_194_size_100_100_POP_FOLD_1,0.6406963470319634,0.5416666666666666,0.7397260273972602,0.40625,0.8307692307692308,0.6185096153846155,0.46428571428571425,0.7826086956521738,0.623447204968944,0.6406963470319635,0.4583333333333333,0.16923076923076924,0.2602739726027397,0.59375,0.3023255813953488
SB-012_194_size_100_100_Target_With_POP_FOLD_1,0.5445432492735575,0.42234848484848486,0.6667380136986301,0.3420138888888889,0.7268600252206809,0.534436957054785,0.37707039337474113,0.695304347826087,0.536187370600414,0.5445432492735576,0.5776515151515151,0.27313997477931906,0.33326198630136983,0.6579861111111112,0.2359085534095388
SB-012_194_size_100_100_POP_FOLD_2,0.5,0.0,1.0,0.0,0.711340206185567,0.3556701030927835,0.0,0.8313253012048193,0.41566265060240964,0.5,1.0,0.28865979381443296,0.0,0.0,0.0
SB-012_194_size_100_100_Target_With_POP_FOLD_2,0.4978448275862069,0.1206896551724138,0.875,0.14583333333333334,0.7049851715859342,0.4254092524596338,0.13207547169811323,0.7773647782619841,0.45472012498004866,0.4978448275862069,0.8793103448275862,0.2950148284140658,0.125,0.3541666666666667,0.07608695652173914
SB-022_204_size_100_100_POP_FOLD_0,0.4781609195402299,0.9333333333333333,0.022988505747126436,0.1414141414141414,0.6666666666666666,0.40404040404040403,0.24561403508771928,0.044444444444444446,0.14502923976608187,0.4781609195402299,0.06666666666666667,0.3333333333333333,0.9770114942528736,0.8585858585858586,0.14
SB-022_204_size_100_100_Target_With_POP_FOLD_0,0.5267407161803713,0.7791666666666667,0.27431476569407603,0.21493783993783994,0.7433333333333333,0.47913558663558664,0.3201754385964912,0.3425347222222222,0.3313550804093567,0.5267407161803713,0.22083333333333333,0.25666666666666665,0.7256852343059239,0.7850621600621601,0.19295081967213115
SB-022_204_size_100_100_POP_FOLD_1,0.5255731922398589,0.6190476190476191,0.43209876543209874,0.22033898305084745,0.813953488372093,0.5171462357114702,0.325,0.564516129032258,0.444758064516129,0.5255731922398589,0.38095238095238093,0.18604651162790697,0.5679012345679012,0.7796610169491526,0.19402985074626866
SB-022_204_size_100_100_Target_With_POP_FOLD_1,0.5584215167548501,0.6984126984126984,0.4184303350970018,0.2195444915254237,0.8543451652386781,0.5369448283820509,0.3332317073170732,0.5609465891062929,0.44708914821168305,0.5584215167548501,0.30158730158730157,0.1456548347613219,0.5815696649029982,0.7804555084745763,0.19995610184372256
SB-022_204_size_100_100_POP_FOLD_2,0.5,1.0,0.0,0.13725490196078433,0.0,0.06862745098039216,0.24137931034482762,0.0,0.12068965517241381,0.5,0.0,0.0,1.0,0.8627450980392157,0.13725490196078433
SB-022_204_size_100_100_Target_With_POP_FOLD_2,0.5,0.5,0.5,0.06862745098039216,0.37745098039215685,0.2230392156862745,0.12068965517241381,0.4301675977653631,0.27542862646888844,0.5,0.5,0.12254901960784313,0.5,0.43137254901960786,0.06862745098039216
SB-023_194_size_100_100_POP_FOLD_0,0.4622132253711201,0.05263157894736842,0.8717948717948718,0.09090909090909091,0.7906976744186046,0.4408033826638478,0.06666666666666667,0.8292682926829267,0.44796747967479666,0.46221322537112014,0.9473684210526315,0.20930232558139536,0.1282051282051282,0.9090909090909091,0.034482758620689655
