Model,Train Loss,Validation Loss
L27_E10_8_B10_D8_10_12_14,0.0194623451679945,0.020462850108742714
L27_E10_8_B10_D10_12_14_16,0.018669988960027695,0.019724901765584946
L27_E10_8_B10_D12_14_16_18,0.016621893271803856,0.01790129765868187
L27_E10_8_B10_D14_16_18_20,0.016559571027755737,0.018057404085993767
L27_E10_8_B10_D16_18_20_22,0.014627763070166111,0.015866870060563087
L27_E10_8_B10_D18_20_22_24,0.017532246187329292,0.019015314057469368
L27_E12_10_B10_D6_8_10_12,0.019586704671382904,0.021354299038648605
L27_E12_10_B10_D8_10_12_14,0.019123347476124763,0.02012261562049389
L27_E12_10_B10_D10_12_14_16,0.018762951716780663,0.019894937053322792
L27_E12_10_B10_D12_14_16_18,0.014182968996465206,0.0158059261739254
L27_E12_10_B10_D14_16_18_20,0.01690460555255413,0.018193038180470467
L27_E12_10_B10_D16_18_20_22,0.013679709285497665,0.015152252279222012
L27_E12_10_B10_D18_20_22_24,0.015233251266181469,0.01655716821551323
L27_E14_12_B10_D6_8_10_12,0.018760699778795242,0.019969329237937927
L27_E14_12_B10_D8_10_12_14,0.019943421706557274,0.02071967162191868
L27_E14_12_B10_D10_12_14_16,0.01614350825548172,0.017150014638900757
L27_E14_12_B10_D12_14_16_18,0.014257947914302349,0.01561225950717926
L27_E14_12_B10_D14_16_18_20,0.01314451638609171,0.014320913702249527
L27_E14_12_B10_D16_18_20_22,0.015983441844582558,0.017586736008524895
L27_E14_12_B10_D18_20_22_24,0.013630518689751625,0.014790973626077175
L27_E16_14_B10_D6_8_10_12,0.01952277682721615,0.02043752744793892
L27_E16_14_B10_D8_10_12_14,0.016482556238770485,0.017572687938809395
L27_E16_14_B10_D10_12_14_16,0.016891736537218094,0.018150579184293747
L27_E16_14_B10_D12_14_16_18,0.01430112961679697,0.015244376845657825
L27_E16_14_B10_D14_16_18_20,0.015694430097937584,0.016908809542655945
L27_E16_14_B10_D16_18_20_22,0.012368394993245602,0.013638078235089779
L27_E16_14_B10_D18_20_22_24,0.013130837120115757,0.01472534704953432
L27_E18_16_B10_D6_8_10_12,0.022847676649689674,0.024771081283688545
L27_E18_16_B10_D8_10_12_14,0.018842464312911034,0.019969454035162926
L27_E18_16_B10_D10_12_14_16,0.015206958167254925,0.016432028263807297
L27_E18_16_B10_D12_14_16_18,0.01566067710518837,0.017126601189374924
L27_E18_16_B10_D14_16_18_20,0.01173282228410244,0.013095970265567303
L27_E18_16_B10_D16_18_20_22,0.016039706766605377,0.017680354416370392
L27_E18_16_B10_D18_20_22_24,0.012440535239875317,0.013200749643146992
L27_E20_18_B10_D6_8_10_12,0.016366656869649887,0.01710033044219017
L27_E20_18_B10_D8_10_12_14,0.0163107942789793,0.01802804134786129
L27_E20_18_B10_D10_12_14_16,0.016290290281176567,0.017612529918551445
L27_E20_18_B10_D12_14_16_18,0.014374694786965847,0.015426736325025558
L27_E20_18_B10_D14_16_18_20,0.014487926848232746,0.015935784205794334
L27_E20_18_B10_D16_18_20_22,0.010643051005899906,0.011934787034988403
L27_E20_18_B10_D18_20_22_24,0.009499642066657543,0.010741735808551311
L27_E22_20_B10_D6_8_10_12,0.018657749518752098,0.019526641815900803
L27_E22_20_B10_D8_10_12_14,0.017268434166908264,0.018597012385725975
L27_E22_20_B10_D10_12_14_16,0.01823592558503151,0.01973065175116062
L27_E22_20_B10_D12_14_16_18,0.013072850182652473,0.014479108154773712
L27_E22_20_B10_D14_16_18_20,0.01108858734369278,0.012319974601268768
L27_E22_20_B10_D16_18_20_22,0.009809421375393867,0.011197189800441265
L27_E22_20_B10_D18_20_22_24,0.012057466432452202,0.013175372034311295
L27_E10_8_B12_D6_8_10_12,0.01894780807197094,0.019915474578738213
L27_E10_8_B12_D8_10_12_14,0.015397133305668831,0.016712309792637825
L27_E10_8_B12_D10_12_14_16,0.016608910635113716,0.01748526468873024
L27_E10_8_B12_D12_14_16_18,0.01613289676606655,0.017239874228835106
