,Weighted Accuracy,Sensitivity/Recall,Specificity,Precision_class0,Precision_class1,Precision_avg,F1_class0,F1_class1,F1_avg,auc_roc_score,False_Discovery_Rate,False_Negative_Rate,False_Omission_Rate,False_Positive_Rate,Jaccard
SB-011_210_size_100_100_POP_FOLD_0,0.48897058823529416,0.35294117647058826,0.625,0.15384615384615385,0.8333333333333334,0.4935897435897436,0.21428571428571433,0.7142857142857143,0.4642857142857143,0.4889705882352941,0.6470588235294118,0.16666666666666666,0.375,0.8461538461538461,0.12
SB-011_210_size_100_100_Target_With_POP_FOLD_0,0.5926995798319328,0.4859943977591037,0.6994047619047619,0.2800480769230769,0.8618721461187215,0.5709601115208992,0.3524258760107817,0.7711555959963603,0.561790736003571,0.5926995798319328,0.5140056022408963,0.13812785388127852,0.3005952380952381,0.7199519230769231,0.2225
SB-011_210_size_100_100_POP_FOLD_1,0.5494505494505494,0.42857142857142855,0.6703296703296703,0.16666666666666666,0.8840579710144928,0.5253623188405797,0.24,0.7625000000000001,0.50125,0.5494505494505495,0.5714285714285714,0.11594202898550725,0.32967032967032966,0.8333333333333334,0.13636363636363635
SB-011_210_size_100_100_Target_With_POP_FOLD_1,0.5987993487993488,0.38095238095238093,0.8166463166463166,0.44696969696969696,0.856922602528523,0.6519461497491099,0.3485714285714286,0.8269642857142857,0.5877678571428571,0.5987993487993488,0.6190476190476191,0.14307739747147702,0.18335368335368335,0.553030303030303,0.21632996632996632
SB-011_210_size_100_100_POP_FOLD_2,0.554945054945055,0.5714285714285714,0.5384615384615384,0.16,0.8909090909090909,0.5254545454545454,0.25,0.6712328767123287,0.46061643835616434,0.554945054945055,0.42857142857142855,0.10909090909090909,0.46153846153846156,0.84,0.14285714285714285
SB-011_210_size_100_100_Target_With_POP_FOLD_2,0.6304817867317868,0.6398809523809523,0.621082621082621,0.2873170731707317,0.8907670454545454,0.5890420593126385,0.3865384615384615,0.7287198866320264,0.5576291740852439,0.6304817867317867,0.3601190476190476,0.10923295454545454,0.3789173789173789,0.7126829268292683,0.24851190476190477
SB-012_194_size_100_100_POP_FOLD_0,0.6675480769230769,0.78125,0.5538461538461539,0.46296296296296297,0.8372093023255814,0.6500861326442722,0.5813953488372093,0.6666666666666667,0.624031007751938,0.6675480769230769,0.21875,0.16279069767441862,0.4461538461538462,0.5370370370370371,0.4098360655737705
SB-012_194_size_100_100_Target_With_POP_FOLD_0,0.6184962606837607,0.890625,0.34636752136752136,0.37515964240102173,0.9186046511627908,0.6468821467819061,0.5139119601328903,0.4552845528455285,0.4845982564892094,0.6184962606837607,0.109375,0.08139534883720931,0.6536324786324786,0.6248403575989783,0.3485961937064255
SB-012_194_size_100_100_POP_FOLD_1,0.5228110599078342,0.7714285714285715,0.27419354838709675,0.375,0.68,0.5275000000000001,0.5046728971962617,0.39080459770114945,0.44773874744870557,0.5228110599078342,0.22857142857142856,0.32,0.7258064516129032,0.625,0.3375
SB-012_194_size_100_100_Target_With_POP_FOLD_1,0.5114055299539171,0.8857142857142857,0.13709677419354838,0.3009020618556701,0.34,0.3204510309278351,0.4372103981779628,0.19540229885057472,0.31630634851426875,0.5114055299539171,0.11428571428571428,0.16,0.8629032258064516,0.6990979381443299,0.2821520618556701
SB-012_194_size_100_100_POP_FOLD_2,0.5634615384615385,0.25,0.8769230769230769,0.5,0.7037037037037037,0.6018518518518519,0.3333333333333333,0.7808219178082192,0.5570776255707762,0.5634615384615385,0.75,0.2962962962962963,0.12307692307692308,0.5,0.2
SB-012_194_size_100_100_Target_With_POP_FOLD_2,0.5570085470085471,0.245,0.869017094017094,0.4375,0.7345679012345678,0.5860339506172839,0.3130081300813008,0.7956397170740442,0.5543239235776725,0.5570085470085471,0.755,0.26543209876543206,0.130982905982906,0.5625,0.18571428571428572
SB-022_204_size_100_100_POP_FOLD_0,0.5135064935064935,0.04,0.987012987012987,0.5,0.76,0.63,0.07407407407407407,0.8587570621468925,0.4664155681104833,0.5135064935064935,0.96,0.24,0.012987012987012988,0.5,0.038461538461538464
SB-022_204_size_100_100_Target_With_POP_FOLD_0,0.5319155844155844,0.12714285714285714,0.9366883116883117,0.3653846153846154,0.8182022471910113,0.5917934312878133,0.14814814814814814,0.8700564971751412,0.5091023226616447,0.5319155844155844,0.8728571428571428,0.18179775280898874,0.0633116883116883,0.6346153846153846,0.08173076923076923
SB-022_204_size_100_100_POP_FOLD_1,0.6131896005072923,0.6842105263157895,0.5421686746987951,0.2549019607843137,0.8823529411764706,0.5686274509803921,0.37142857142857144,0.671641791044776,0.5215351812366738,0.6131896005072923,0.3157894736842105,0.11764705882352941,0.4578313253012048,0.7450980392156863,0.22807017543859648
SB-022_204_size_100_100_Target_With_POP_FOLD_1,0.5913508978146218,0.6921052631578948,0.4905965324713488,0.24411764705882352,0.8697478991596639,0.5569327731092437,0.3607142857142857,0.6261434761675493,0.4934288809409175,0.5913508978146218,0.3078947368421052,0.13025210084033612,0.5094034675286512,0.7558823529411764,0.2200956937799043
SB-022_204_size_100_100_POP_FOLD_2,0.5285220397579948,0.46153846153846156,0.5955056179775281,0.14285714285714285,0.8833333333333333,0.513095238095238,0.21818181818181817,0.7114093959731543,0.46479560707748624,0.5285220397579948,0.5384615384615384,0.11666666666666667,0.4044943820224719,0.8571428571428571,0.12244897959183673
SB-022_204_size_100_100_Target_With_POP_FOLD_2,0.5226112223081472,0.34615384615384615,0.6990685984624483,0.21428571428571427,0.8182098765432099,0.5162477954144621,0.2367504835589942,0.7442397298337109,0.4904951066963526,0.5226112223081472,0.6538461538461539,0.18179012345679013,0.3009314015375517,0.7857142857142857,0.13439522150323543
SB-023_194_size_100_100_POP_FOLD_0,0.4630801687763713,0.16666666666666666,0.759493670886076,0.13636363636363635,0.8,0.4681818181818182,0.15,0.7792207792207794,0.4646103896103897,0.4630801687763713,0.8333333333333334,0.2,0.24050632911392406,0.8636363636363636,0.08108108108108109
SB-023_194_size_100_100_Target_With_POP_FOLD_0,0.48028695155610546,0.10714285714285714,0.8534310459693537,0.16818181818181818,0.791304347826087,0.47974308300395263,0.11346153846153846,0.8181818181818182,0.46582167832167837,0.48028695155610546,0.8928571428571428,0.20869565217391306,0.14656895403064624,0.8318181818181818,0.06054054054054055
SB-023_194_size_100_100_POP_FOLD_1,0.6237468671679198,0.5238095238095238,0.7236842105263158,0.34375,0.8461538461538461,0.5949519230769231,0.4150943396226415,0.7801418439716312,0.5976180917971363,0.6237468671679198,0.47619047619047616,0.15384615384615385,0.27631578947368424,0.65625,0.2619047619047619
SB-023_194_size_100_100_Target_With_POP_FOLD_1,0.5914092985628628,0.4285714285714286,0.7542471685542971,0.3023097826086957,0.841995841995842,0.5721528123022688,0.3538886332259549,0.7952996801557503,0.5745941566908526,0.5914092985628628,0.5714285714285714,0.158004158004158,0.24575283144570287,0.6976902173913043,0.21666666666666667
SB-023_194_size_100_100_POP_FOLD_2,0.5283088235294118,0.29411764705882354,0.7625,0.20833333333333334,0.8356164383561644,0.5219748858447488,0.24390243902439027,0.7973856209150326,0.5206440299697115,0.5283088235294118,0.7058823529411765,0.1643835616438356,0.2375,0.7916666666666666,0.1388888888888889
SB-023_194_size_100_100_Target_With_POP_FOLD_2,0.5777907754010696,0.37433155080213903,0.78125,0.3041666666666667,0.8344748858447488,0.5693207762557078,0.33471717695900366,0.8068560757636388,0.5707866263613213,0.5777907754010696,0.625668449197861,0.16552511415525112,0.21875,0.6958333333333333,0.2045795795795796
SB-025_117_size_100_100_POP_FOLD_0,0.5,0.0,1.0,0.0,0.7413793103448276,0.3706896551724138,0.0,0.8514851485148515,0.42574257425742573,0.5,1.0,0.25862068965517243,0.0,0.0,0.0
SB-025_117_size_100_100_Target_With_POP_FOLD_0,0.4716666666666667,0.3333333333333333,0.61,0.06666666666666667,0.7635467980295567,0.4151067323481117,0.1111111111111111,0.5976175742574257,0.3543643426842684,0.4716666666666667,0.6666666666666666,0.23645320197044334,0.39,0.43333333333333335,0.0625
SB-025_117_size_100_100_POP_FOLD_1,0.7312925170068028,0.6666666666666666,0.7959183673469388,0.375,0.9285714285714286,0.6517857142857143,0.4800000000000001,0.8571428571428572,0.6685714285714286,0.7312925170068028,0.3333333333333333,0.07142857142857142,0.20408163265306123,0.625,0.3157894736842105
SB-025_117_size_100_100_Target_With_POP_FOLD_1,0.6690553494124922,0.6333333333333333,0.7047773654916512,0.3605769230769231,0.8733766233766234,0.6169767732267732,0.4595121951219513,0.7792207792207793,0.6193664871713652,0.6690553494124922,0.3666666666666667,0.12662337662337664,0.2952226345083488,0.6394230769230769,0.29851973684210525
