,humidin,pm25,airp,y_am_pef,pm25diffin,co2in,no2,dewpt,humidiffin,varp,income,so2,humid,grdt,windsd,o3,seap,solramnt,solrhr,pm25in,tempin,cooking,pm10,temp,tempdiffin,co,road_dist
Mean_df1,0.3568771929824561,0.2622982456140351,0.6515789473684209,0.29910526315789476,0.45101754385964904,0.35342105263157886,0.30266666666666664,0.4368245614035087,0.44926315789473686,0.2128421052631579,0.0,0.266859649122807,0.388578947368421,0.3327719298245614,0.3642456140350877,0.31756140350877193,0.6491052631578947,0.2926140350877193,0.5475087719298246,0.3084736842105263,0.5170701754385965,0.5,0.4563157894736843,0.45836842105263154,0.5750350877192982,0.30933333333333335,0.5
Std_df1,0.18454432976692295,0.23597775053353479,0.1771734367554271,0.0948178110548492,0.12356960028780631,0.16120948520574324,0.22467447351138722,0.21658865908239003,0.2005160775808789,0.18017727277339987,0.0,0.142200994395319,0.23524303142619649,0.20532222215892926,0.2583117082063669,0.15545520916050978,0.17795120561251437,0.168519472633407,0.26420339316025726,0.17453040108317988,0.21238701699366813,0.0,0.1995878930889075,0.21951827385525555,0.204747489511234,0.20478903197937048,0.0
Mean_df2,0.004029544070363045,0.24755071103572845,0.5140908360481262,0.26547545194625854,0.3929652273654938,0.316702663898468,0.26011961698532104,0.4853174388408661,0.46172624826431274,0.3022765517234802,0.0,0.2752092778682709,0.4120725691318512,0.39043617248535156,0.35170653462409973,0.32382628321647644,0.4884445369243622,0.259346604347229,0.3869868516921997,0.2561495304107666,0.5122113227844238,0.4205617606639862,0.0008995532989501953,0.4570126533508301,0.0024608690291643143,0.2630781829357147,0.4181113541126251
Std_df2,0.022674143314361572,0.25423938035964966,0.21792247891426086,0.09290967881679535,0.1468736082315445,0.14279814064502716,0.27764031291007996,0.3467520475387573,0.19148209691047668,0.2812686860561371,0.0,0.11424368619918823,0.25823959708213806,0.3281448185443878,0.2807777225971222,0.2123335301876068,0.2290191501379013,0.15498684346675873,0.21694432199001312,0.1708393543958664,0.3173161745071411,0.12029135227203369,0.006791478488594294,0.33319687843322754,0.014967667870223522,0.27128636837005615,0.1287054866552353
